source,model,task,T,rule,greedy,plain,loss,gain,lo,hi,acc
main_grid,gemma-3-12b-it,gsm8k,0.7,top_p,90.0,92.0,-2.0,0.6666666666666665,-4.0,5.333333333333334,92.66666666666666
main_grid,gemma-3-12b-it,gsm8k,0.7,top_k,90.0,92.0,-2.0,-1.9999999999999993,-6.683333333333334,2.666666666666668,90.0
main_grid,gemma-3-12b-it,gsm8k,0.7,min_p,90.0,92.0,-2.0,0.0,-4.016666666666667,4.666666666666667,92.0
main_grid,gemma-3-12b-it,gsm8k,0.7,top_n_sigma,90.0,92.0,-2.0,4.263256414560601e-16,-3.9999999999999996,4.000000000000001,92.0
main_grid,gemma-3-12b-it,gsm8k,1.0,top_p,90.0,91.33333333333333,-1.3333333333333286,-1.9999999999999998,-6.666666666666668,2.666666666666667,89.33333333333334
main_grid,gemma-3-12b-it,gsm8k,1.0,top_k,90.0,91.33333333333333,-1.3333333333333286,1.333333333333333,-2.6666666666666674,6.0,92.66666666666666
main_grid,gemma-3-12b-it,gsm8k,1.0,min_p,90.0,91.33333333333333,-1.3333333333333286,1.3333333333333337,-3.3333333333333326,6.666666666666668,92.66666666666666
main_grid,gemma-3-12b-it,gsm8k,1.0,top_n_sigma,90.0,91.33333333333333,-1.3333333333333286,0.6666666666666669,-4.0,5.34999999999991,92.0
main_grid,gemma-3-12b-it,gsm8k,1.3,top_p,90.0,88.66666666666666,1.3333333333333428,2.666666666666666,-0.666666666666667,7.333333333333332,91.33333333333334
main_grid,gemma-3-12b-it,gsm8k,1.3,top_k,90.0,88.66666666666666,1.3333333333333428,2.666666666666666,-1.3333333333333337,7.333333333333332,91.33333333333333
main_grid,gemma-3-12b-it,gsm8k,1.3,min_p,90.0,88.66666666666666,1.3333333333333428,4.0,-0.6666666666666669,9.999999999999998,92.66666666666667
main_grid,gemma-3-12b-it,gsm8k,1.3,top_n_sigma,90.0,88.66666666666666,1.3333333333333428,0.6666666666666664,-2.0000000000000004,3.333333333333333,89.33333333333333
main_grid,gemma-3-12b-it,mmlu_pro,0.7,top_p,57.99999999999999,63.33333333333333,-5.333333333333336,3.333333333333333,-1.9999999999999993,8.666666666666666,66.66666666666666
main_grid,gemma-3-12b-it,mmlu_pro,0.7,top_k,57.99999999999999,63.33333333333333,-5.333333333333336,-1.4210854715202004e-16,-5.333333333333332,4.666666666666666,63.33333333333333
main_grid,gemma-3-12b-it,mmlu_pro,0.7,min_p,57.99999999999999,63.33333333333333,-5.333333333333336,3.333333333333333,-1.333333333333334,8.0,66.66666666666666
main_grid,gemma-3-12b-it,mmlu_pro,0.7,top_n_sigma,57.99999999999999,63.33333333333333,-5.333333333333336,1.9999999999999998,-2.0166666666666653,6.666666666666665,65.33333333333334
