==============================================================================================================
FULL MATRIX -- pure temperature, pooled over quant + reps
==============================================================================================================
model                      task      sampler      T        n    acc  strict   flex  failed    cap acc|strict acc|parsed
gemma-3-12b-it             gsm8k     top_n_sigma_top_n_sigma1.0 2.0     45  86.7%   97.8%   2.2%    0.0%   2.2%      88.6%      86.7%
gemma-3-12b-it             gsm8k     top_n_sigma_top_n_sigma1.0 3.0     45  88.9%  100.0%   0.0%    0.0%   0.0%      88.9%      88.9%
gemma-3-12b-it             gsm8k     top_p_top_p0.95 2.0     45  26.7%   26.7%  73.3%    0.0%  71.1%     100.0%      26.7%
gemma-3-12b-it             gsm8k     top_p_top_p0.95 3.0     45   0.0%    0.0%   8.9%   91.1% 100.0%       nan%       0.0%
gemma-3-12b-it             mmlu_pro  min_p_min_p0.05 2.0     45  57.8%  100.0%   0.0%    0.0%   0.0%      57.8%      57.8%
gemma-3-12b-it             mmlu_pro  min_p_min_p0.05 3.0     45   0.0%    0.0%   6.7%   93.3%  97.8%       nan%       0.0%
gemma-3-12b-it             mmlu_pro  temperature  2.0     45   0.0%    0.0%   0.0%  100.0%  95.6%       nan%       nan%
gemma-3-12b-it             mmlu_pro  temperature  3.0     45   0.0%    0.0%   0.0%  100.0%  97.8%       nan%       nan%
gemma-3-12b-it             mmlu_pro  top_n_sigma_top_n_sigma1.0 2.0     45  68.9%  100.0%   0.0%    0.0%   0.0%      68.9%      68.9%
gemma-3-12b-it             mmlu_pro  top_n_sigma_top_n_sigma1.0 3.0     45  62.2%  100.0%   0.0%    0.0%   0.0%      62.2%      62.2%
gemma-3-12b-it             mmlu_pro  top_p_top_p0.95 2.0     45   0.0%    0.0%   0.0%  100.0%  97.8%       nan%       nan%
gemma-3-12b-it             mmlu_pro  top_p_top_p0.95 3.0     45   0.0%    0.0%   0.0%  100.0% 100.0%       nan%       nan%
llama-3.1-8b-instruct      gsm8k     min_p_min_p0.05 2.0     45  33.3%   33.3%  66.7%    0.0%  60.0%      93.3%      33.3%
llama-3.1-8b-instruct      gsm8k     min_p_min_p0.05 3.0     45   0.0%    0.0% 100.0%    0.0%  97.8%       nan%       0.0%
llama-3.1-8b-instruct      gsm8k     temperature  2.0     45   0.0%    0.0% 100.0%    0.0% 100.0%       nan%       0.0%
llama-3.1-8b-instruct      gsm8k     temperature  3.0     45   0.0%    0.0%  97.8%    2.2% 100.0%       nan%       0.0%
llama-3.1-8b-instruct      gsm8k     top_n_sigma_top_n_sigma1.0 2.0     45  71.1%   97.8%   2.2%    0.0%   2.2%      72.7%      71.1%
llama-3.1-8b-instruct      gsm8k     top_n_sigma_top_n_sigma1.0 3.0     45  80.0%   91.1%   8.9%    0.0%   4.4%      85.4%      80.0%
llama-3.1-8b-instruct      gsm8k     top_p_top_p0.95 2.0     45   0.0%    0.0%  95.6%    4.4%  97.8%       nan%       0.0%
llama-3.1-8b-instruct      gsm8k     top_p_top_p0.95 3.0     45   0.0%    0.0% 100.0%    0.0% 100.0%       nan%       0.0%
llama-3.1-8b-instruct      mmlu_pro  min_p_min_p0.05 2.0     45   0.0%    4.4%   8.9%   86.7%  95.6%       0.0%       0.0%
llama-3.1-8b-instruct      mmlu_pro  min_p_min_p0.05 3.0     45   0.0%    0.0%   2.2%   97.8%  97.8%       nan%       0.0%
llama-3.1-8b-instruct      mmlu_pro  temperature  2.0     45   0.0%    0.0%   0.0%  100.0% 100.0%       nan%       nan%
llama-3.1-8b-instruct      mmlu_pro  temperature  3.0     45   0.0%    0.0%   0.0%  100.0% 100.0%       nan%       nan%
llama-3.1-8b-instruct      mmlu_pro  top_n_sigma_top_n_sigma1.0 2.0     45  46.7%   88.9%   0.0%   11.1%   0.0%      52.5%      52.5%
llama-3.1-8b-instruct      mmlu_pro  top_n_sigma_top_n_sigma1.0 3.0     45  51.1%   91.1%   2.2%    6.7%   0.0%      53.7%      54.8%
llama-3.1-8b-instruct      mmlu_pro  top_p_top_p0.95 2.0     45   0.0%    0.0%   0.0%  100.0% 100.0%       nan%       nan%
llama-3.1-8b-instruct      mmlu_pro  top_p_top_p0.95 3.0     45   0.0%    0.0%   0.0%  100.0%  97.8%       nan%       nan%
